"","symptom","domain","group","estimate","lower_95_percent_confidence_limit","upper_95_percent_confidence_limit"
"1","Abdominal pain","All people","All people",9.56,8.82,10.3
"2","Abdominal pain","Country/region","England",9.09,8.3,9.88
"3","Abdominal pain","Country/region","North East",13.36,9.38,17.33
"4","Abdominal pain","Country/region","North West",7.92,5.93,9.91
"5","Abdominal pain","Country/region","Yorkshire and the Humber",8.51,6.16,10.85
"6","Abdominal pain","Country/region","East Midlands",7.78,5.29,10.28
"7","Abdominal pain","Country/region","West Midlands",9.07,6.48,11.66
"8","Abdominal pain","Country/region","East of England",7.69,5.62,9.76
"9","Abdominal pain","Country/region","London",11.91,9.64,14.18
"10","Abdominal pain","Country/region","South East",8.29,6.25,10.32
"11","Abdominal pain","Country/region","South West",8.75,6.27,11.23
"12","Abdominal pain","Country/region","Northern Ireland",9.38,4.88,13.87
"13","Abdominal pain","Country/region","Scotland",13.46,10.54,16.39
"14","Abdominal pain","Country/region","Wales",10.25,6.93,13.57
"15","Abdominal pain","Ethnic group","Non-white",13.56,9.66,17.46
"16","Abdominal pain","Ethnic group","White",9.36,8.61,10.11
"17","Abdominal pain","Index of Multiple Deprivation quintile group","1",12.61,10.28,14.93
"18","Abdominal pain","Index of Multiple Deprivation quintile group","2",12.49,10.49,14.48
"19","Abdominal pain","Index of Multiple Deprivation quintile group","3",9.29,7.75,10.83
"20","Abdominal pain","Index of Multiple Deprivation quintile group","4",7.87,6.46,9.29
"21","Abdominal pain","Index of Multiple Deprivation quintile group","5",7.58,6.23,8.92
"22","Allergies","All people","All people",6.24,5.63,6.86
"23","Allergies","Country/region","England",6.3,5.63,6.97
"24","Allergies","Country/region","North West",5.5,3.89,7.12
"25","Allergies","Country/region","East Midlands",7.31,4.78,9.85
"26","Allergies","Country/region","West Midlands",6.91,4.6,9.22
"27","Allergies","Country/region","East of England",7.21,5.15,9.27
"28","Allergies","Country/region","London",7.59,5.7,9.48
"29","Allergies","Country/region","South East",7.74,5.8,9.69
"30","Allergies","Country/region","South West",5.17,3.24,7.1
"31","Allergies","Country/region","Scotland",5.92,3.85,8
"32","Allergies","Ethnic group","Non-white",10.85,7.29,14.41
"33","Allergies","Ethnic group","White",6.01,5.39,6.63
"34","Allergies","Index of Multiple Deprivation quintile group","1",7.83,5.99,9.67
"35","Allergies","Index of Multiple Deprivation quintile group","2",6.38,4.91,7.86
"36","Allergies","Index of Multiple Deprivation quintile group","3",6.69,5.34,8.03
"37","Allergies","Index of Multiple Deprivation quintile group","4",6.31,4.98,7.64
"38","Allergies","Index of Multiple Deprivation quintile group","5",4.78,3.69,5.87
"39","Chest pain","All people","All people",11.88,11.07,12.69
"40","Chest pain","Country/region","England",11.38,10.51,12.25
"41","Chest pain","Country/region","North East",10.96,7.4,14.51
"42","Chest pain","Country/region","North West",10.2,8.01,12.39
"43","Chest pain","Country/region","Yorkshire and the Humber",13.61,10.72,16.5
"44","Chest pain","Country/region","East Midlands",10.14,7.28,13
"45","Chest pain","Country/region","West Midlands",11.02,8.19,13.84
"46","Chest pain","Country/region","East of England",11.38,8.85,13.91
"47","Chest pain","Country/region","London",13.09,10.67,15.5
"48","Chest pain","Country/region","South East",10.05,7.91,12.2
"49","Chest pain","Country/region","South West",11.73,8.9,14.55
"50","Chest pain","Country/region","Northern Ireland",9.38,4.91,13.84
"51","Chest pain","Country/region","Scotland",17.06,13.92,20.19
"52","Chest pain","Country/region","Wales",12.11,8.46,15.76
"53","Chest pain","Ethnic group","Non-white",18.64,14.14,23.15
"54","Chest pain","Ethnic group","White",11.54,10.72,12.36
"55","Chest pain","Index of Multiple Deprivation quintile group","1",16.03,13.51,18.56
"56","Chest pain","Index of Multiple Deprivation quintile group","2",12.21,10.26,14.16
"57","Chest pain","Index of Multiple Deprivation quintile group","3",12.04,10.28,13.79
"58","Chest pain","Index of Multiple Deprivation quintile group","4",11.06,9.42,12.71
"59","Chest pain","Index of Multiple Deprivation quintile group","5",9.97,8.44,11.5
"60","Cough","All people","All people",32.98,31.79,34.17
"61","Cough","Country/region","England",32.68,31.37,33.98
"62","Cough","Country/region","North East",33.22,27.67,38.77
"63","Cough","Country/region","North West",34.09,30.63,37.56
"64","Cough","Country/region","Yorkshire and the Humber",32.51,28.41,36.62
"65","Cough","Country/region","East Midlands",32.08,27.5,36.65
"66","Cough","Country/region","West Midlands",33.05,28.71,37.38
"67","Cough","Country/region","East of England",31.57,27.9,35.24
"68","Cough","Country/region","London",30.5,27.25,33.75
"69","Cough","Country/region","South East",34.38,30.93,37.82
"70","Cough","Country/region","South West",32.8,28.63,36.98
"71","Cough","Country/region","Northern Ireland",28.75,21.79,35.71
"72","Cough","Country/region","Scotland",36.45,32.36,40.53
"73","Cough","Country/region","Wales",33.85,28.56,39.14
"74","Cough","Ethnic group","Non-white",33.22,27.78,38.66
"75","Cough","Ethnic group","White",32.97,31.74,34.19
"76","Cough","Index of Multiple Deprivation quintile group","1",38.07,34.64,41.49
"77","Cough","Index of Multiple Deprivation quintile group","2",34.23,31.36,37.1
"78","Cough","Index of Multiple Deprivation quintile group","3",31.58,29.08,34.07
"79","Cough","Index of Multiple Deprivation quintile group","4",32.48,30.01,34.95
"80","Cough","Index of Multiple Deprivation quintile group","5",30.99,28.61,33.37
"81","Diarrhoea","All people","All people",9.04,8.32,9.76
"82","Diarrhoea","Country/region","England",8.52,7.75,9.3
"83","Diarrhoea","Country/region","North East",10.96,7.39,14.52
"84","Diarrhoea","Country/region","North West",9.66,7.55,11.78
"85","Diarrhoea","Country/region","Yorkshire and the Humber",6.43,4.25,8.6
"86","Diarrhoea","Country/region","East Midlands",11.08,8.13,14.04
"87","Diarrhoea","Country/region","West Midlands",7.78,5.16,10.39
"88","Diarrhoea","Country/region","East of England",8.97,6.75,11.2
"89","Diarrhoea","Country/region","London",8.51,6.54,10.48
"90","Diarrhoea","Country/region","South East",6.11,4.35,7.88
"91","Diarrhoea","Country/region","South West",9.15,6.63,11.66
"92","Diarrhoea","Country/region","Scotland",14,11.07,16.94
"93","Diarrhoea","Ethnic group","Non-white",8.81,5.56,12.06
"94","Diarrhoea","Ethnic group","White",9.05,8.31,9.79
"95","Diarrhoea","Index of Multiple Deprivation quintile group","1",13.34,10.95,15.73
"96","Diarrhoea","Index of Multiple Deprivation quintile group","2",10.55,8.71,12.38
"97","Diarrhoea","Index of Multiple Deprivation quintile group","3",10.48,8.83,12.12
"98","Diarrhoea","Index of Multiple Deprivation quintile group","4",5.82,4.6,7.03
"99","Diarrhoea","Index of Multiple Deprivation quintile group","5",7.3,5.96,8.64
"100","Difficulty concentrating","All people","All people",37.26,36.04,38.49
"101","Difficulty concentrating","Country/region","England",36.28,34.94,37.62
"102","Difficulty concentrating","Country/region","North East",39.38,33.64,45.13
"103","Difficulty concentrating","Country/region","North West",37.45,33.88,41.02
"104","Difficulty concentrating","Country/region","Yorkshire and the Humber",37.62,33.48,41.76
"105","Difficulty concentrating","Country/region","East Midlands",37.5,32.79,42.21
"106","Difficulty concentrating","Country/region","West Midlands",33.91,29.51,38.31
"107","Difficulty concentrating","Country/region","East of England",33.33,29.54,37.13
"108","Difficulty concentrating","Country/region","London",39.27,35.8,42.73
"109","Difficulty concentrating","Country/region","South East",32.88,29.41,36.35
"110","Difficulty concentrating","Country/region","South West",36.58,32.4,40.77
"111","Difficulty concentrating","Country/region","Northern Ireland",43.75,36.03,51.47
"112","Difficulty concentrating","Country/region","Scotland",45.42,41.27,49.57
"113","Difficulty concentrating","Country/region","Wales",35.4,30.15,40.65
"114","Difficulty concentrating","Ethnic group","Non-white",46.44,40.81,52.07
"115","Difficulty concentrating","Ethnic group","White",36.8,35.54,38.05
"116","Difficulty concentrating","Index of Multiple Deprivation quintile group","1",41.98,38.5,45.47
"117","Difficulty concentrating","Index of Multiple Deprivation quintile group","2",40.61,37.66,43.57
"118","Difficulty concentrating","Index of Multiple Deprivation quintile group","3",37.52,34.9,40.14
"119","Difficulty concentrating","Index of Multiple Deprivation quintile group","4",36.1,33.56,38.64
"120","Difficulty concentrating","Index of Multiple Deprivation quintile group","5",33.04,30.6,35.47
"121","Ear pain","All people","All people",8.19,7.5,8.88
"122","Ear pain","Country/region","England",8.13,7.37,8.89
"123","Ear pain","Country/region","North East",7.88,4.77,10.98
"124","Ear pain","Country/region","North West",7.11,5.24,8.99
"125","Ear pain","Country/region","Yorkshire and the Humber",8.88,6.47,11.3
"126","Ear pain","Country/region","East Midlands",8.96,6.24,11.69
"127","Ear pain","Country/region","West Midlands",7.34,4.98,9.7
"128","Ear pain","Country/region","East of England",6.89,4.9,8.88
"129","Ear pain","Country/region","London",9.69,7.59,11.78
"130","Ear pain","Country/region","South East",8.56,6.49,10.63
"131","Ear pain","Country/region","South West",7.55,5.18,9.92
"132","Ear pain","Country/region","Northern Ireland",6.88,2.98,10.77
"133","Ear pain","Country/region","Scotland",9.34,6.89,11.78
"134","Ear pain","Country/region","Wales",7.76,4.85,10.68
"135","Ear pain","Ethnic group","Non-white",10.17,6.74,13.6
"136","Ear pain","Ethnic group","White",8.09,7.38,8.79
"137","Ear pain","Index of Multiple Deprivation quintile group","1",12.36,10.08,14.64
"138","Ear pain","Index of Multiple Deprivation quintile group","2",9.44,7.68,11.19
"139","Ear pain","Index of Multiple Deprivation quintile group","3",7.21,5.81,8.6
"140","Ear pain","Index of Multiple Deprivation quintile group","4",6.24,4.98,7.5
"141","Ear pain","Index of Multiple Deprivation quintile group","5",7.71,6.34,9.09
"142","Eyesight","All people","All people",22.39,21.34,23.44
"143","Eyesight","Country/region","England",22.3,21.15,23.45
"144","Eyesight","Country/region","North East",21.58,16.74,26.41
"145","Eyesight","Country/region","North West",21.07,18.07,24.07
"146","Eyesight","Country/region","Yorkshire and the Humber",25.52,21.74,29.3
"147","Eyesight","Country/region","East Midlands",23.35,19.32,27.37
"148","Eyesight","Country/region","West Midlands",25.05,21.11,29
"149","Eyesight","Country/region","East of England",21.15,17.93,24.38
"150","Eyesight","Country/region","London",23.56,20.58,26.54
"151","Eyesight","Country/region","South East",21.2,18.25,24.14
"152","Eyesight","Country/region","South West",18.89,15.47,22.3
"153","Eyesight","Country/region","Northern Ireland",20,13.66,26.34
"154","Eyesight","Country/region","Scotland",24.24,20.61,27.86
"155","Eyesight","Country/region","Wales",21.74,17.14,26.34
"156","Eyesight","Ethnic group","Non-white",26.44,21.34,31.54
"157","Eyesight","Ethnic group","White",22.18,21.11,23.26
"158","Eyesight","Index of Multiple Deprivation quintile group","1",27.54,24.39,30.69
"159","Eyesight","Index of Multiple Deprivation quintile group","2",24.61,22.05,27.16
"160","Eyesight","Index of Multiple Deprivation quintile group","3",22.21,19.97,24.46
"161","Eyesight","Index of Multiple Deprivation quintile group","4",20.92,18.79,23.06
"162","Eyesight","Index of Multiple Deprivation quintile group","5",19.45,17.42,21.49
"163","Fever","All people","All people",2.42,2.03,2.8
"164","Fever","Country/region","England",2.22,1.82,2.63
"165","Fever","Country/region","North West",2.82,1.63,4.01
"166","Fever","Country/region","Yorkshire and the Humber",3.02,1.57,4.48
"167","Fever","Country/region","East Midlands",4.01,2.14,5.88
"168","Fever","Country/region","East of England",1.76,0.73,2.8
"169","Fever","Country/region","London",1.57,0.68,2.46
"170","Fever","Country/region","South East",2.31,1.24,3.38
"171","Fever","Country/region","Scotland",4.13,2.49,5.77
"172","Fever","Index of Multiple Deprivation quintile group","1",4.28,2.9,5.67
"173","Fever","Index of Multiple Deprivation quintile group","2",2.87,1.88,3.86
"174","Fever","Index of Multiple Deprivation quintile group","3",1.93,1.2,2.67
"175","Fever","Index of Multiple Deprivation quintile group","4",2.06,1.32,2.79
"176","Fever","Index of Multiple Deprivation quintile group","5",1.84,1.16,2.53
"177","General pain","All people","All people",19.77,18.77,20.78
"178","General pain","Country/region","England",18.35,17.27,19.42
"179","General pain","Country/region","North East",19.52,14.89,24.15
"180","General pain","Country/region","North West",19.19,16.33,22.06
"181","General pain","Country/region","Yorkshire and the Humber",20.6,17.09,24.12
"182","General pain","Country/region","East Midlands",16.27,12.75,19.79
"183","General pain","Country/region","West Midlands",20.09,16.41,23.76
"184","General pain","Country/region","East of England",16.99,14,19.97
"185","General pain","Country/region","London",17.28,14.57,19.98
"186","General pain","Country/region","South East",16.58,13.86,19.29
"187","General pain","Country/region","South West",20.08,16.59,23.57
"188","General pain","Country/region","Northern Ireland",25,18.27,31.73
"189","General pain","Country/region","Scotland",26.93,23.16,30.7
"190","General pain","Country/region","Wales",27.33,22.38,32.28
"191","General pain","Ethnic group","Non-white",24.07,19.21,28.92
"192","General pain","Ethnic group","White",19.56,18.53,20.58
"193","General pain","Index of Multiple Deprivation quintile group","1",28.52,25.41,31.63
"194","General pain","Index of Multiple Deprivation quintile group","2",25.16,22.56,27.77
"195","General pain","Index of Multiple Deprivation quintile group","3",18.87,16.73,21.01
"196","General pain","Index of Multiple Deprivation quintile group","4",17.87,15.84,19.9
"197","General pain","Index of Multiple Deprivation quintile group","5",13.58,11.82,15.35
"198","Hair loss","All people","All people",7.22,6.57,7.87
"199","Hair loss","Country/region","England",7.3,6.58,8.02
"200","Hair loss","Country/region","North East",8.56,5.39,11.74
"201","Hair loss","Country/region","North West",7.38,5.51,9.26
"202","Hair loss","Country/region","Yorkshire and the Humber",7.94,5.63,10.25
"203","Hair loss","Country/region","East Midlands",5.42,3.26,7.59
"204","Hair loss","Country/region","West Midlands",7.78,5.33,10.22
"205","Hair loss","Country/region","East of England",6.73,4.74,8.73
"206","Hair loss","Country/region","London",9.69,7.56,11.81
"207","Hair loss","Country/region","South East",5.98,4.25,7.71
"208","Hair loss","Country/region","South West",5.96,3.88,8.05
"209","Hair loss","Country/region","Northern Ireland",7.5,3.47,11.53
"210","Hair loss","Country/region","Scotland",7.18,5.05,9.31
"211","Hair loss","Country/region","Wales",5.9,3.33,8.47
"212","Hair loss","Ethnic group","Non-white",15.25,11.12,19.38
"213","Hair loss","Ethnic group","White",6.82,6.17,7.47
"214","Hair loss","Index of Multiple Deprivation quintile group","1",10.4,8.29,12.51
"215","Hair loss","Index of Multiple Deprivation quintile group","2",7.86,6.27,9.46
"216","Hair loss","Index of Multiple Deprivation quintile group","3",7.5,6.09,8.92
"217","Hair loss","Index of Multiple Deprivation quintile group","4",5.67,4.47,6.88
"218","Hair loss","Index of Multiple Deprivation quintile group","5",6.21,4.97,7.45
"219","Headache","All people","All people",27.36,26.22,28.49
"220","Headache","Country/region","England",26.5,25.26,27.73
"221","Headache","Country/region","North East",31.51,25.82,37.2
"222","Headache","Country/region","North West",26.44,23.29,29.6
"223","Headache","Country/region","Yorkshire and the Humber",27.98,24.04,31.92
"224","Headache","Country/region","East Midlands",27.12,22.85,31.4
"225","Headache","Country/region","West Midlands",28.29,24.08,32.51
"226","Headache","Country/region","East of England",25.64,22.18,29.1
"227","Headache","Country/region","London",26.7,23.54,29.87
"228","Headache","Country/region","South East",22.42,19.36,25.48
"229","Headache","Country/region","South West",26.64,22.78,30.5
"230","Headache","Country/region","Northern Ireland",33.75,26.29,41.21
"231","Headache","Country/region","Scotland",31.78,27.84,35.71
"232","Headache","Country/region","Wales",30.12,25,35.25
"233","Headache","Ethnic group","Non-white",31.19,25.87,36.5
"234","Headache","Ethnic group","White",27.16,26,28.32
"235","Headache","Index of Multiple Deprivation quintile group","1",36.11,32.73,39.48
"236","Headache","Index of Multiple Deprivation quintile group","2",31.91,29.07,34.76
"237","Headache","Index of Multiple Deprivation quintile group","3",25.93,23.55,28.3
"238","Headache","Index of Multiple Deprivation quintile group","4",24.4,22.16,26.63
"239","Headache","Index of Multiple Deprivation quintile group","5",23.28,21.07,25.48
"240","Joint pain","All people","All people",34.04,32.84,35.24
"241","Joint pain","Country/region","England",32.64,31.33,33.95
"242","Joint pain","Country/region","North East",32.19,26.72,37.66
"243","Joint pain","Country/region","North West",33.42,29.92,36.92
"244","Joint pain","Country/region","Yorkshire and the Humber",32.33,28.25,36.4
"245","Joint pain","Country/region","East Midlands",32.55,27.97,37.13
"246","Joint pain","Country/region","West Midlands",34.99,30.52,39.46
"247","Joint pain","Country/region","East of England",32.85,29.13,36.57
"248","Joint pain","Country/region","London",32.98,29.62,36.35
"249","Joint pain","Country/region","South East",31.25,27.89,34.61
"250","Joint pain","Country/region","South West",31.21,27.14,35.28
"251","Joint pain","Country/region","Northern Ireland",34.38,27.02,41.73
"252","Joint pain","Country/region","Scotland",43.63,39.47,47.78
"253","Joint pain","Country/region","Wales",39.44,34.09,44.8
"254","Joint pain","Ethnic group","Non-white",34.58,29.12,40.04
"255","Joint pain","Ethnic group","White",34.01,32.78,35.25
"256","Joint pain","Index of Multiple Deprivation quintile group","1",40.88,37.43,44.33
"257","Joint pain","Index of Multiple Deprivation quintile group","2",40.15,37.2,43.1
"258","Joint pain","Index of Multiple Deprivation quintile group","3",33.28,30.71,35.85
"259","Joint pain","Index of Multiple Deprivation quintile group","4",30.71,28.28,33.14
"260","Joint pain","Index of Multiple Deprivation quintile group","5",29.62,27.28,31.97
"261","Loss of appetite","All people","All people",9.85,9.1,10.61
"262","Loss of appetite","Country/region","England",9.29,8.49,10.1
"263","Loss of appetite","Country/region","North East",8.22,5.1,11.34
"264","Loss of appetite","Country/region","North West",8.59,6.54,10.64
"265","Loss of appetite","Country/region","Yorkshire and the Humber",10.21,7.58,12.83
"266","Loss of appetite","Country/region","East Midlands",9.91,7.05,12.76
"267","Loss of appetite","Country/region","West Midlands",7.78,5.29,10.26
"268","Loss of appetite","Country/region","East of England",8.81,6.54,11.09
"269","Loss of appetite","Country/region","London",9.16,7.14,11.19
"270","Loss of appetite","Country/region","South East",10.19,8,12.38
"271","Loss of appetite","Country/region","South West",10.34,7.68,12.99
"272","Loss of appetite","Country/region","Northern Ireland",10.62,5.84,15.41
"273","Loss of appetite","Country/region","Scotland",14.9,11.89,17.92
"274","Loss of appetite","Country/region","Wales",9.63,6.39,12.86
"275","Loss of appetite","Ethnic group","Non-white",7.8,4.75,10.84
"276","Loss of appetite","Ethnic group","White",9.96,9.18,10.73
"277","Loss of appetite","Index of Multiple Deprivation quintile group","1",13.83,11.42,16.24
"278","Loss of appetite","Index of Multiple Deprivation quintile group","2",11.38,9.49,13.26
"279","Loss of appetite","Index of Multiple Deprivation quintile group","3",9.06,7.53,10.6
"280","Loss of appetite","Index of Multiple Deprivation quintile group","4",8.65,7.16,10.15
"281","Loss of appetite","Index of Multiple Deprivation quintile group","5",8.4,6.97,9.82
"282","Loss of smell","All people","All people",20.64,19.62,21.66
"283","Loss of smell","Country/region","England",21.54,20.4,22.67
"284","Loss of smell","Country/region","North East",22.26,17.36,27.16
"285","Loss of smell","Country/region","North West",23.76,20.64,26.87
"286","Loss of smell","Country/region","Yorkshire and the Humber",18.34,15.04,21.63
"287","Loss of smell","Country/region","East Midlands",20.75,16.9,24.61
"288","Loss of smell","Country/region","West Midlands",19.87,16.25,23.49
"289","Loss of smell","Country/region","East of England",22.28,19,25.55
"290","Loss of smell","Country/region","London",21.73,18.79,24.67
"291","Loss of smell","Country/region","South East",20.79,17.82,23.75
"292","Loss of smell","Country/region","South West",23.26,19.53,26.99
"293","Loss of smell","Country/region","Northern Ireland",10.62,5.81,15.44
"294","Loss of smell","Country/region","Scotland",17.24,14.1,20.37
"295","Loss of smell","Country/region","Wales",17.39,13.28,21.51
"296","Loss of smell","Ethnic group","Non-white",21.36,16.63,26.09
"297","Loss of smell","Ethnic group","White",20.6,19.56,21.65
"298","Loss of smell","Index of Multiple Deprivation quintile group","1",22.52,19.62,25.42
"299","Loss of smell","Index of Multiple Deprivation quintile group","2",19.8,17.41,22.18
"300","Loss of smell","Index of Multiple Deprivation quintile group","3",20.51,18.33,22.68
"301","Loss of smell","Index of Multiple Deprivation quintile group","4",20.28,18.17,22.4
"302","Loss of smell","Index of Multiple Deprivation quintile group","5",20.68,18.62,22.75
"303","Loss of taste","All people","All people",18.25,17.28,19.22
"304","Loss of taste","Country/region","England",18.64,17.57,19.72
"305","Loss of taste","Country/region","North East",16.44,12.13,20.74
"306","Loss of taste","Country/region","North West",21.34,18.39,24.3
"307","Loss of taste","Country/region","Yorkshire and the Humber",15.5,12.44,18.57
"308","Loss of taste","Country/region","East Midlands",18.63,14.92,22.35
"309","Loss of taste","Country/region","West Midlands",18.57,15.1,22.05
"310","Loss of taste","Country/region","East of England",18.75,15.68,21.82
"311","Loss of taste","Country/region","London",18.46,15.66,21.26
"312","Loss of taste","Country/region","South East",18.21,15.4,21.01
"313","Loss of taste","Country/region","South West",20.08,16.51,23.65
"314","Loss of taste","Country/region","Northern Ireland",15.62,10.14,21.11
"315","Loss of taste","Country/region","Scotland",16.7,13.61,19.78
"316","Loss of taste","Country/region","Wales",16.15,12.15,20.15
"317","Loss of taste","Ethnic group","Non-white",13.22,9.1,17.34
"318","Loss of taste","Ethnic group","White",18.51,17.51,19.51
"319","Loss of taste","Index of Multiple Deprivation quintile group","1",19.09,16.39,21.8
"320","Loss of taste","Index of Multiple Deprivation quintile group","2",18.04,15.76,20.32
"321","Loss of taste","Index of Multiple Deprivation quintile group","3",17.98,15.92,20.04
"322","Loss of taste","Index of Multiple Deprivation quintile group","4",17.3,15.33,19.28
"323","Loss of taste","Index of Multiple Deprivation quintile group","5",19.11,17.09,21.13
"324","Low mood or not enjoying","All people","All people",27.95,26.81,29.08
"325","Low mood or not enjoying","Country/region","England",26.77,25.54,28.01
"326","Low mood or not enjoying","Country/region","North East",25.68,20.66,30.71
"327","Low mood or not enjoying","Country/region","North West",28.99,25.7,32.29
"328","Low mood or not enjoying","Country/region","Yorkshire and the Humber",28.36,24.54,32.17
"329","Low mood or not enjoying","Country/region","East Midlands",24.29,19.97,28.62
"330","Low mood or not enjoying","Country/region","West Midlands",26.78,22.65,30.92
"331","Low mood or not enjoying","Country/region","East of England",25.48,22,28.96
"332","Low mood or not enjoying","Country/region","London",27.36,24.13,30.58
"333","Low mood or not enjoying","Country/region","South East",25.27,22.09,28.46
"334","Low mood or not enjoying","Country/region","South West",27.44,23.52,31.35
"335","Low mood or not enjoying","Country/region","Northern Ireland",31.25,23.87,38.63
"336","Low mood or not enjoying","Country/region","Scotland",34.83,30.84,38.81
"337","Low mood or not enjoying","Country/region","Wales",32.92,27.71,38.12
"338","Low mood or not enjoying","Ethnic group","Non-white",29.83,24.6,35.07
"339","Low mood or not enjoying","Ethnic group","White",27.85,26.68,29.02
"340","Low mood or not enjoying","Index of Multiple Deprivation quintile group","1",36.84,33.55,40.14
"341","Low mood or not enjoying","Index of Multiple Deprivation quintile group","2",30.8,28.01,33.6
"342","Low mood or not enjoying","Index of Multiple Deprivation quintile group","3",27.12,24.71,29.53
"343","Low mood or not enjoying","Index of Multiple Deprivation quintile group","4",25.25,22.93,27.57
"344","Low mood or not enjoying","Index of Multiple Deprivation quintile group","5",24.23,22,26.46
"345","Memory loss or confusion","All people","All people",26.2,25.08,27.31
"346","Memory loss or confusion","Country/region","England",25.51,24.3,26.73
"347","Memory loss or confusion","Country/region","North East",27.05,21.86,32.25
"348","Memory loss or confusion","Country/region","North West",26.85,23.68,30.01
"349","Memory loss or confusion","Country/region","Yorkshire and the Humber",26.84,23.02,30.67
"350","Memory loss or confusion","Country/region","East Midlands",25.71,21.46,29.95
"351","Memory loss or confusion","Country/region","West Midlands",25.49,21.41,29.56
"352","Memory loss or confusion","Country/region","East of England",23.4,20.08,26.72
"353","Memory loss or confusion","Country/region","London",25.65,22.47,28.84
"354","Memory loss or confusion","Country/region","South East",24.59,21.43,27.75
"355","Memory loss or confusion","Country/region","South West",24.85,20.98,28.72
"356","Memory loss or confusion","Country/region","Northern Ireland",32.5,24.96,40.04
"357","Memory loss or confusion","Country/region","Scotland",30.34,26.57,34.11
"358","Memory loss or confusion","Country/region","Wales",26.71,21.78,31.64
"359","Memory loss or confusion","Ethnic group","Non-white",30.51,25.14,35.88
"360","Memory loss or confusion","Ethnic group","White",25.98,24.84,27.12
