,artist_name,track_name,track_id,popularity
0,Drake,IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE,93
1,Drake,First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,91
2,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,88
3,Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,89
4,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,89
5,Drake,Virginia Beach,3eP13S8D5m2cweMEg3ZDed,85
6,Drake,MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,88
7,Drake,Slime You Out (feat. SZA),0AYt6NMyyLd0rLuvr0UkMH,81
8,Drake,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,86
9,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,86
10,Beyonce,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,80
11,Beyonce,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,84
12,Beyonce,Halo,3ERa3mEeOnrh2Mc47qM6T1,68
13,Beyonce,Single Ladies (Put a Ring on It),2ZBNclC5wm4GtiWaeh0DMx,68
14,Beyonce,BREAK MY SOUL,5pyoxDZ1PX0KxBxiRVxA4U,76
15,Beyonce,Beautiful Liar,2HWWNoWEEEECwZhAiLg7ib,74
16,Beyonce,Irreplaceable,1G7DcLzPnopdZjLkev0K4e,68
17,Beyonce,Love On Top,1z6WtY7X4HQJvzxC4UgkSf,77
18,Beyonce,If I Were a Boy,26NX1wPt1TRCH536yocd6i,68
19,Beyonce,HEATED,1w7cgGZR86yWz1pA2puVJD,76
20,Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e,94
21,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,88
22,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,85
23,Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,85
24,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,85
25,Harry Styles,Falling,1ZMiCix7XSAbfAJlEZWMCp,84
26,Harry Styles,Satellite,0rzaRSujxA0bKyjJl6vHYq,83
27,Harry Styles,Matilda,6uvh0In7u1Xn4HgxOfAn8O,82
28,Harry Styles,Fine Line,6VzcQuzTNTMFnJ6rBSaLH9,82
29,Harry Styles,Golden,45S5WTQEGOB1VHr1Q4FuPl,80
30,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,99
31,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,94
32,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,92
33,Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,92
34,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,91
35,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,92
36,Taylor Swift,Blank Space,1p80LdxRV74UKvL8gnD7ky,80
37,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,91
38,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),4NioO5R9sHEZh4cGzMHyNt,89
39,Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,90
40,Twice,The Feels,308Ir17KlNdlrbVLHWhlLe,76
41,Twice,MOONLIGHT SUNRISE,5IN9W6eUfk3014My9awagX,72
42,Twice,What is Love,3zhbXKFjUDw40pTYyCgt1Y,76
43,Twice,Talk that Talk,0RDqNCRBGrSegk16Avfzuq,76
44,Twice,SET ME FREE,4OtVQ2ZxS7yigIjGz5yKg1,75
45,Twice,FANCY,2qQpFbqqkLOGySgNK8wBXt,75
46,Twice,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,74
47,Twice,Feel Special,3Hz3tTQwOdM6XkA0ALB2G9,73
48,Twice,CRY FOR ME,2xtP8RNbo2BEMzLX7tK7aq,72
49,Twice,Alcohol-Free,0BTaaKT4RMbs5M73tOHX5Y,71
50,BTS,Left and Right (Feat. Jung Kook of BTS),5Odq8ohlgIbQKMZivbWkEo,82
51,BTS,My Universe,46HNZY1i7O6jwTA7Slo2PI,79
52,BTS,Take Two,5IAESfJjmOYu7cHyX557kz,84
53,BTS,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,82
54,BTS,Butter,6jjYDGxVJsWS0a5wlVF5vS,78
55,BTS,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],1RDvyOk4WtPCtoqciJwVn8,80
56,BTS,Run BTS,69xohKu8C1fsflYAiSNbwM,80
57,BTS,Boy With Luv (feat. Halsey),4a9tbd947vo9K8Vti9JwcI,77
58,BTS,Euphoria,5YMXGBD6vcYP7IolemyLtK,78
59,BTS,FAKE LOVE,6m1TWFMeon7ai9XLOzdbiR,76
60,EXO,Love Shot,0yB4jrSwN0bFtFRDR5vyMj,75
61,EXO,Cream Soda,42h7yc9Rda1IOMYLACVgld,74
62,EXO,The Eve,2ujA6F1cpk3m8lsPE5aKua,68
63,EXO,CALL ME BABY,6Rx0ORYPP3GH9rTvGS5Vy8,68
64,EXO,Monster,7GbUWl6qLW1gdngbEV2WDJ,67
65,EXO,LOVE ME RIGHT,1kFevEv3s7Gf6o5xSDR5DL,67
66,EXO,Let Me In,3s9YpuocAjzVt0NLshCrpT,61
67,EXO,Growl,4pi0Elz7B7cLfw37J3bYm9,66
68,EXO,Ko Ko Bop,5EzitieoPnjyKHAq0gfRMa,65
69,EXO,Tempo,4EjUFjzi4ErWjklOA3Aslu,63
70,BlackPink,How You Like That,4SFknyjLcyTLJFPKD2m96o,83
71,BlackPink,Shut Down,7gRFDGEzF9UkBV233yv2dc,75
72,BlackPink,Pink Venom,5zwwW9Oq7ubSxoCGyW1nbY,75
73,BlackPink,THE GIRLS - BLACKPINK THE GAME OST,1mFpMoeZfkIqtqW2AfQ8ba,77
74,BlackPink,Typa Girl,0L8LOav65XwLjCLS11gNPD,76
75,BlackPink,As If It's Your Last,4ZxOuNHhpyOj4gv52MtQpT,79
76,BlackPink,Tally,0bYVPJvXr8ACmw313cVvhB,71
77,BlackPink,Lovesick Girls,4Ws314Ylb27BVsvlZOy30C,74
78,BlackPink,Kill This Love,6hvczQ05jc1yGlp9zhb95V,75
79,BlackPink,Pretty Savage,1XnpzbOGptRwfJhZgLbmSr,74
